year,head_to_head,result,fifa_rank_diff,home_form_total,away_form_total,stage_encoded,home_team_encoded,away_team_encoded
2014,2,away team win,-41.178328929272084,1.3333333333333333,2.5999999999999996,1,43,2
2014,2,away team win,71.5494762428907,1.9333333333333331,3.1999999999999997,5,8,47
2014,4,home team win,5.261345788022936,2.6666666666666665,1.5499999999999998,2,28,2
2015,1,home team win,-100.48523907353888,0.3,0.7000000000000001,0,11,13
2015,0,away team win,-211.003419410491,0.09999999999999999,0.7000000000000001,0,44,47
2015,0,home team win,114.0448900595893,0.0,0.3,0,48,75
2015,0,home team win,157.58796416224573,0.5,0.3,0,28,41
2015,2,draw,57.26294967284798,0.5,0.3,0,69,49
2015,0,home team win,-50.46004602405469,0.7000000000000001,0.6,0,10,24
2015,1,home team win,62.61892483153542,0.7000000000000001,0.3,0,78,3
2015,0,home team win,30.472506207056313,1.2999999999999998,0.5,0,40,74
2015,1,home team win,-33.41310334924992,0.6,0.39999999999999997,0,27,27
2015,0,draw,210.67795209811788,0.0,0.39999999999999997,0,68,16
2015,0,draw,93.23685120599816,1.0,0.39999999999999997,0,15,45
2015,1,home team win,273.83994573433483,0.6,0.39999999999999997,0,8,70
2015,0,away team win,251.8477306725381,0.3,0.3,0,38,75
2015,0,draw,-83.76682914113621,1.0,0.09999999999999999,0,11,48
2015,0,home team win,-194.28500947808834,0.7000000000000001,1.4,0,13,47
2015,1,draw,278.7522981510863,7.4,0.0,0,28,52
2015,1,home team win,-19.726397253082723,0.6,0.6,0,70,24
2015,0,home team win,25.64876058444611,0.3,2.3999999999999995,0,3,49
2015,1,home team win,59.649128923502076,1.9999999999999998,0.7000000000000001,0,40,10
2015,3,draw,47.64324236724178,2.8999999999999995,0.3,0,78,73
2015,0,draw,14.886255595591138,0.5,0.8999999999999999,0,66,16
2015,0,away team win,-30.164366297341076,1.2999999999999998,1.0,0,27,15
2015,3,home team win,67.96347086581886,1.7999999999999998,0.19999999999999998,0,8,72
2015,1,home team win,103.67074547357993,0.39999999999999997,1.0999999999999999,0,25,45
2015,0,away team win,-396.51294950233614,0.3,0.39999999999999997,0,71,30
2015,0,away team win,140.52847410335698,1.7,0.7,0,38,52
2015,2,draw,16.718409932402665,1.4,0.09999999999999999,0,13,48
2015,0,draw,292.17181926178205,0.7000000000000001,0.3,0,43,11
2015,0,away team win,-104.33587245927811,0.3,0.7999999999999999,0,45,82
2015,0,draw,-34.71093441583366,1.7,0.3,0,3,73
2015,0,away team win,30.28165139898192,7.6,1.4,0,70,10
2015,0,away team win,-30.219470823633173,0.6,1.2999999999999998,0,23,43
2015,0,away team win,-286.05667209417834,0.19999999999999998,0.39999999999999997,0,16,8
2015,1,home team win,-201.76491008740754,1.9,0.19999999999999998,0,66,72
2015,1,away team win,-50.784820328945216,0.39999999999999997,0.5,0,41,29
2015,1,home team win,25.218409747051055,1.7999999999999998,2.4,0,25,15
2015,3,home team win,159.53485669982138,4.25,0.6499999999999999,3,28,73
2015,0,home team win,-61.87472350685016,1.75,1.75,3,13,10
2015,3,away team win,261.1271529383371,1.4499999999999997,1.0,3,8,3
2015,1,home team win,86.01093985909438,0.85,0.5,3,27,70
2015,0,home team win,-186.29611315253464,0.6499999999999999,0.6,3,11,74
2015,1,away team win,-247.285506791962,2.8,0.39999999999999997,3,48,27
2015,2,home team win,-58.726120199515435,1.8499999999999996,2.05,3,78,15
2015,0,home team win,-84.4143818485029,2.3499999999999996,1.05,3,40,47
2015,2,home team win,94.82897772685169,3.9,4.0,8,28,29
2015,0,away team win,-147.64633261599192,1.6333333333333333,1.5,8,13,82
2015,1,away team win,-38.67913376656293,1.3499999999999999,1.9999999999999998,8,3,43
2015,1,home team win,316.0726366317415,1.7999999999999998,1.0,8,25,11
2015,2,home team win,-115.55867924082304,1.9666666666666668,3.1999999999999997,9,78,30
2015,0,home team win,-110.66678312337285,2.466666666666667,1.0999999999999999,9,40,27
2015,2,away team win,41.27211347177604,1.7999999999999998,1.0999999999999999,5,28,27
2015,2,home team win,36.38021735432585,1.7333333333333332,1.9999999999999998,2,78,43
2018,0,home team win,39.956938476843106,0.19999999999999998,0.19999999999999998,0,57,62
2018,0,draw,-115.64233580022278,0.5,0.7999999999999999,0,53,72
2018,0,away team win,-124.74019434331672,0.09999999999999999,0.6,0,24,83
2018,0,away team win,-76.64466983015541,0.5,0.3,0,42,37
2018,0,home team win,137.6794970664705,0.6,0.6,0,27,3
2018,0,draw,246.0022089625386,0.7000000000000001,0.5,0,2,36
2018,0,away team win,86.9791152229293,0.5,0.19999999999999998,0,51,21
